Índice,Data de Referência,Número Índice,Variação Diária (%),Variação no Mês (%),Variação no Ano (%),Variação 12 Meses (%),Variação 24 Meses (%),Duration (d.u.),PMR
IMA - Geral,04/12/2001,532.621995,0.0708,,,,,,
IMA - Geral,05/12/2001,532.986548,0.0684,,,,,,
IMA - Geral,06/12/2001,533.286808,0.0563,,,,,,
IMA - Geral,07/12/2001,533.774816,0.0915,,,,,,
IMA - Geral,10/12/2001,534.206283,0.0808,,,,,,
IMA - Geral,11/12/2001,534.551690,0.0647,,,,,,
IMA - Geral,12/12/2001,534.830491,0.0522,,,,,,
IMA - Geral,13/12/2001,535.266116,0.0815,,,,,,
IMA - Geral,14/12/2001,535.624117,0.0669,,,,,,
IMA - Geral,17/12/2001,536.022046,0.0743,,,,,,
IMA - Geral,18/12/2001,536.454728,0.0807,,,,,,
IMA - Geral,19/12/2001,536.864929,0.0765,,,,,,
IMA - Geral,20/12/2001,537.131043,0.0496,,,,,,
IMA - Geral,21/12/2001,537.546033,0.0773,,,,,,
IMA - Geral,24/12/2001,537.894301,0.0648,,,,,,
IMA - Geral,26/12/2001,538.179847,0.0531,,,,,,
IMA - Geral,27/12/2001,538.513010,0.0619,,,,,,
IMA - Geral,28/12/2001,538.912125,0.0741,,,,,,
IMA - Geral,31/12/2001,539.282710,0.0688,,,,,,
IMA - Geral,02/01/2002,539.704880,0.0783,,,,,,
IMA - Geral,03/01/2002,540.144529,0.0815,,,,,,
IMA - Geral,04/01/2002,540.480364,0.0622,,,,,,
IMA - Geral,07/01/2002,540.956547,0.0881,,,,,,
IMA - Geral,08/01/2002,541.237881,0.0520,,,,,,
IMA - Geral,09/01/2002,541.642108,0.0747,,,,,,
IMA - Geral,10/01/2002,541.955579,0.0579,,,,,,
IMA - Geral,11/01/2002,542.342429,0.0714,,,,,,
IMA - Geral,14/01/2002,542.613929,0.0501,,,,,,
IMA - Geral,15/01/2002,542.909970,0.0546,,,,,,
IMA - Geral,16/01/2002,543.285775,0.0692,,,,,,
IMA - Geral,17/01/2002,543.703142,0.0768,,,,,,
IMA - Geral,18/01/2002,544.103649,0.0737,,,,,,
IMA - Geral,21/01/2002,544.484675,0.0700,,,,,,
IMA - Geral,22/01/2002,544.907118,0.0776,,,,,,
IMA - Geral,23/01/2002,545.227983,0.0589,,,,,,
IMA - Geral,24/01/2002,545.563985,0.0616,,,,,,
IMA - Geral,25/01/2002,546.045146,0.0882,,,,,,
IMA - Geral,28/01/2002,546.390431,0.0632,,,,,,
IMA - Geral,29/01/2002,546.690492,0.0549,,,,,,
IMA - Geral,30/01/2002,547.149689,0.0840,,,,,,
IMA - Geral,31/01/2002,547.475810,0.0596,,,,,,
IMA - Geral,01/02/2002,547.815958,0.0621,,,,,,
IMA - Geral,04/02/2002,548.057556,0.0441,,,,,,
IMA - Geral,05/02/2002,548.312872,0.0466,,,,,,
IMA - Geral,06/02/2002,548.656723,0.0627,,,,,,
IMA - Geral,07/02/2002,548.942618,0.0521,,,,,,
IMA - Geral,08/02/2002,549.159233,0.0395,,,,,,
IMA - Geral,13/02/2002,549.568211,0.0745,,,,,,
IMA - Geral,14/02/2002,549.874479,0.0557,,,,,,
IMA - Geral,15/02/2002,550.245827,0.0675,,,,,,
IMA - Geral,18/02/2002,550.595821,0.0636,,,,,,
IMA - Geral,19/02/2002,550.876975,0.0511,,,,,,
IMA - Geral,20/02/2002,551.225142,0.0632,,,,,,
IMA - Geral,21/02/2002,551.619489,0.0715,,,,,,
IMA - Geral,22/02/2002,552.068570,0.0814,,,,,,
IMA - Geral,25/02/2002,552.483897,0.0752,,,,,,
IMA - Geral,26/02/2002,552.866366,0.0692,,,,,,
IMA - Geral,27/02/2002,553.244253,0.0684,,,,,,
IMA - Geral,28/02/2002,553.603705,0.0650,,,,,,
IMA - Geral,01/03/2002,553.906761,0.0547,,,,,,
IMA - Geral,04/03/2002,554.292316,0.0696,,,,,,
IMA - Geral,05/03/2002,554.024970,-0.0482,,,,,,
IMA - Geral,06/03/2002,553.938600,-0.0156,,,,,,
IMA - Geral,07/03/2002,554.307919,0.0667,,,,,,
IMA - Geral,08/03/2002,554.718366,0.0740,,,,,,
IMA - Geral,11/03/2002,555.140092,0.0760,,,,,,
IMA - Geral,12/03/2002,555.899953,0.1369,,,,,,
IMA - Geral,13/03/2002,556.318766,0.0753,,,,,,
IMA - Geral,14/03/2002,556.742422,0.0762,,,,,,
IMA - Geral,15/03/2002,557.205031,0.0831,,,,,,
IMA - Geral,18/03/2002,557.596537,0.0703,,,,,,
IMA - Geral,19/03/2002,557.996170,0.0717,,,,,,
IMA - Geral,20/03/2002,558.425494,0.0769,,,,,,
IMA - Geral,21/03/2002,558.785768,0.0645,,,,,,
IMA - Geral,22/03/2002,559.096564,0.0556,,,,,,
IMA - Geral,25/03/2002,559.480229,0.0686,,,,,,
IMA - Geral,26/03/2002,559.812199,0.0593,,,,,,
IMA - Geral,27/03/2002,560.060720,0.0444,,,,,,
IMA - Geral,28/03/2002,560.363099,0.0540,,,,,,
IMA - Geral,01/04/2002,560.681559,0.0568,,,,,,
IMA - Geral,02/04/2002,561.060374,0.0676,,,,,,
IMA - Geral,03/04/2002,561.292374,0.0414,,,,,,
IMA - Geral,04/04/2002,561.551311,0.0461,,,,,,
IMA - Geral,05/04/2002,561.910218,0.0639,,,,,,
IMA - Geral,08/04/2002,561.307069,-0.1073,,,,,,
IMA - Geral,09/04/2002,561.738098,0.0768,,,,,,
IMA - Geral,10/04/2002,562.120006,0.0680,,,,,,
IMA - Geral,11/04/2002,562.387084,0.0475,,,,,,
IMA - Geral,12/04/2002,562.196879,-0.0338,,,,,,
IMA - Geral,15/04/2002,562.475481,0.0496,,,,,,
IMA - Geral,16/04/2002,562.908556,0.0770,,,,,,
IMA - Geral,17/04/2002,563.344563,0.0775,,,,,,
IMA - Geral,18/04/2002,563.694493,0.0621,,,,,,
IMA - Geral,19/04/2002,564.120194,0.0755,,,,,,
IMA - Geral,22/04/2002,564.270738,0.0267,,,,,,
IMA - Geral,23/04/2002,564.636487,0.0648,,,,,,
IMA - Geral,24/04/2002,565.069136,0.0766,,,,,,
IMA - Geral,25/04/2002,565.460551,0.0693,,,,,,
IMA - Geral,26/04/2002,565.772685,0.0552,,,,,,
IMA - Geral,29/04/2002,565.486164,-0.0506,,,,,,
IMA - Geral,30/04/2002,565.622530,0.0241,,,,,,
IMA - Geral,02/05/2002,565.373119,-0.0441,,,,,,
IMA - Geral,03/05/2002,565.176370,-0.0348,,,,,,
IMA - Geral,06/05/2002,565.188249,0.0021,,,,,,
IMA - Geral,07/05/2002,567.097848,0.3379,,,,,,
IMA - Geral,08/05/2002,566.920176,-0.0313,,,,,,
IMA - Geral,09/05/2002,567.214003,0.0518,,,,,,
IMA - Geral,10/05/2002,567.560332,0.0611,,,,,,
IMA - Geral,13/05/2002,566.649537,-0.1605,,,,,,
IMA - Geral,14/05/2002,566.054639,-0.1050,,,,,,
IMA - Geral,15/05/2002,566.495569,0.0779,,,,,,
IMA - Geral,16/05/2002,566.948340,0.0799,,,,,,
IMA - Geral,17/05/2002,567.358432,0.0723,,,,,,
IMA - Geral,20/05/2002,567.809903,0.0796,,,,,,
IMA - Geral,21/05/2002,568.251610,0.0778,,,,,,
IMA - Geral,22/05/2002,568.530204,0.0490,,,,,,
IMA - Geral,23/05/2002,568.651115,0.0213,,,,,,
IMA - Geral,24/05/2002,568.917841,0.0469,,,,,,
IMA - Geral,27/05/2002,569.063318,0.0256,,,,,,
IMA - Geral,28/05/2002,569.071625,0.0015,,,,,,
IMA - Geral,29/05/2002,566.283227,-0.4900,,,,,,
IMA - Geral,31/05/2002,566.124223,-0.0281,,,,,,
IMA - Geral,03/06/2002,566.469842,0.0611,,,,,,
IMA - Geral,04/06/2002,566.288646,-0.0320,,,,,,
IMA - Geral,05/06/2002,566.746082,0.0808,,,,,,
IMA - Geral,06/06/2002,566.933722,0.0331,,,,,,
IMA - Geral,07/06/2002,567.052793,0.0210,,,,,,
IMA - Geral,10/06/2002,567.533156,0.0847,,,,,,
IMA - Geral,11/06/2002,567.498704,-0.0061,,,,,,
IMA - Geral,12/06/2002,565.824039,-0.2951,,,,,,
IMA - Geral,13/06/2002,566.059886,0.0417,,,,,,
IMA - Geral,14/06/2002,564.119193,-0.3428,,,,,,
IMA - Geral,17/06/2002,569.370603,0.9309,,,,,,
IMA - Geral,18/06/2002,570.189507,0.1438,,,,,,
IMA - Geral,19/06/2002,569.662113,-0.0925,,,,,,
IMA - Geral,20/06/2002,569.975561,0.0550,,,,,,
IMA - Geral,21/06/2002,569.408253,-0.0995,,,,,,
IMA - Geral,24/06/2002,569.914479,0.0889,,,,,,
IMA - Geral,25/06/2002,570.310195,0.0694,,,,,,
IMA - Geral,26/06/2002,570.667800,0.0627,,,,,,
IMA - Geral,27/06/2002,571.373474,0.1237,,,,,,
IMA - Geral,28/06/2002,571.876122,0.0880,,,,,,
IMA - Geral,01/07/2002,571.803639,-0.0127,,,,,,
IMA - Geral,02/07/2002,572.141702,0.0591,,,,,,
IMA - Geral,03/07/2002,572.794480,0.1141,,,,,,
IMA - Geral,04/07/2002,573.126354,0.0579,,,,,,
IMA - Geral,05/07/2002,573.504262,0.0659,,,,,,
IMA - Geral,08/07/2002,574.110843,0.1058,,,,,,
IMA - Geral,09/07/2002,574.511626,0.0698,,,,,,
IMA - Geral,10/07/2002,575.012558,0.0872,,,,,,
IMA - Geral,11/07/2002,575.610427,0.1040,,,,,,
IMA - Geral,12/07/2002,575.882773,0.0473,,,,,,
IMA - Geral,15/07/2002,573.285283,-0.4510,,,,,,
IMA - Geral,16/07/2002,573.683180,0.0694,,,,,,
IMA - Geral,17/07/2002,574.649505,0.1684,,,,,,
IMA - Geral,18/07/2002,575.465143,0.1419,,,,,,
IMA - Geral,19/07/2002,576.151892,0.1193,,,,,,
IMA - Geral,22/07/2002,576.334698,0.0317,,,,,,
IMA - Geral,23/07/2002,576.612831,0.0483,,,,,,
