Data	3696 - Taxa de câmbio - Livre - Dólar americano (venda) - Fim de período - mensal - u.m.c./US$	3697 - Taxa de câmbio - Livre - Dólar americano (compra) - Média de período - mensal - u.m.c./US$
01/2000	1,8024 	1,8029
02/2000	1,7685 	1,7745
03/2000	1,7473 	1,7412
04/2000	1,8067 	1,7674
05/2000	1,8266 	1,8271
06/2000	1,8000 	1,8075
07/2000	1,7748 	1,7970
08/2000	1,8234 	1,8084
09/2000	1,8437 	1,8384
10/2000	1,9090 	1,8788
11/2000	1,9596 	1,9472
12/2000	1,9554 	1,9625
01/2001	1,9711 	1,9537
02/2001	2,0452 	2,0011
03/2001	2,1616 	2,0882
04/2001	2,1847 	2,1917
05/2001	2,3600 	2,2964
06/2001	2,3049 	2,3750
07/2001	2,4313 	2,4652
08/2001	2,5517 	2,5098
09/2001	2,6713 	2,6709
10/2001	2,7071 	2,7394
11/2001	2,5287 	2,5423
12/2001	2,3204 	2,3619
01/2002	2,4183 	2,3771
02/2002	2,3482 	2,4188
03/2002	2,3236 	2,3458
04/2002	2,3625 	2,3196
05/2002	2,5220 	2,4796
06/2002	2,8444 	2,7132
07/2002	3,4285 	2,9338
08/2002	3,0223 	3,1093
09/2002	3,8949 	3,3412
10/2002	3,6450 	3,8051
11/2002	3,6365 	3,5756
12/2002	3,5333 	3,6251
01/2003	3,5258 	3,4376
02/2003	3,5632 	3,5900
03/2003	3,3531 	3,4461
04/2003	2,8898 	3,1179
05/2003	2,9656 	2,9549
06/2003	2,8720 	2,8824
07/2003	2,9655 	2,8790
08/2003	2,9665 	3,0017
09/2003	2,9234 	2,9220
10/2003	2,8562 	2,8607
11/2003	2,9494 	2,9130
12/2003	2,8892 	2,9245
01/2004	2,9409 	2,8510
02/2004	2,9138 	2,9295
03/2004	2,9086 	2,9047
04/2004	2,9447 	2,9052
05/2004	3,1291 	3,0996
06/2004	3,1075 	3,1283
07/2004	3,0268 	3,0360
08/2004	2,9338 	3,0021
09/2004	2,8586 	2,8903
10/2004	2,8565 	2,8521
11/2004	2,7307 	2,7852
12/2004	2,6544 	2,7174
01/2005	2,6248 	2,6922
02/2005	2,5950 	2,5970
03/2005	2,6662 	2,7039
04/2005	2,5313 	2,5784
05/2005	2,4038 	2,4520
06/2005	2,3504 	2,4127
07/2005	2,3905 	2,3727
08/2005	2,3637 	2,3598
09/2005	2,2222 	2,2936
10/2005	2,2543 	2,2557
11/2005	2,2070 	2,2100
12/2005	2,3407 	2,2847
01/2006	2,2160 	2,2731
02/2006	2,1355 	2,1611
03/2006	2,1724 	2,1512
04/2006	2,0892 	2,1285
05/2006	2,3005 	2,1773
06/2006	2,1643 	2,2475
07/2006	2,1762 	2,1885
08/2006	2,1388 	2,1551
09/2006	2,1742 	2,1679
10/2006	2,1430 	2,1475
11/2006	2,1668 	2,1571
12/2006	2,1380 	2,1491
01/2007	2,1247 	2,1377
02/2007	2,1182 	2,0955
03/2007	2,0504 	2,0879
04/2007	2,0339 	2,0312
05/2007	1,9289 	1,9808
06/2007	1,9262 	1,9311
07/2007	1,8776 	1,8820
08/2007	1,9620 	1,9652
09/2007	1,8389 	1,8988
10/2007	1,7440 	1,8002
11/2007	1,7837 	1,7691
12/2007	1,7713 	1,7852
01/2008	1,7603 	1,7735
