data,venda,compra,media
01/2000,1.8024,1.8029,1.80265
02/2000,1.7685,1.7745,1.7715
03/2000,1.7473,1.7412,1.74425
04/2000,1.8067,1.7674,1.78705
05/2000,1.8266,1.8271,1.82685
06/2000,1.8,1.8075,1.80375
07/2000,1.7748,1.797,1.7859
08/2000,1.8234,1.8084,1.8159
09/2000,1.8437,1.8384,1.84105
10/2000,1.909,1.8788,1.8939
11/2000,1.9596,1.9472,1.9534
12/2000,1.9554,1.9625,1.95895
01/2001,1.9711,1.9537,1.9624
02/2001,2.0452,2.0011,2.02315
03/2001,2.1616,2.0882,2.1249
04/2001,2.1847,2.1917,2.1882
05/2001,2.36,2.2964,2.3282
06/2001,2.3049,2.375,2.33995
07/2001,2.4313,2.4652,2.44825
08/2001,2.5517,2.5098,2.53075
09/2001,2.6713,2.6709,2.6711
10/2001,2.7071,2.7394,2.72325
11/2001,2.5287,2.5423,2.5355
12/2001,2.3204,2.3619,2.34115
01/2002,2.4183,2.3771,2.3977
02/2002,2.3482,2.4188,2.3835
03/2002,2.3236,2.3458,2.3347
04/2002,2.3625,2.3196,2.34105
05/2002,2.522,2.4796,2.5008
06/2002,2.8444,2.7132,2.7788
07/2002,3.4285,2.9338,3.18115
08/2002,3.0223,3.1093,3.0658
09/2002,3.8949,3.3412,3.61805
10/2002,3.645,3.8051,3.72505
11/2002,3.6365,3.5756,3.60605
12/2002,3.5333,3.6251,3.5792
01/2003,3.5258,3.4376,3.4817
02/2003,3.5632,3.59,3.5766
03/2003,3.3531,3.4461,3.3996
04/2003,2.8898,3.1179,3.00385
05/2003,2.9656,2.9549,2.96025
06/2003,2.872,2.8824,2.8772
07/2003,2.9655,2.879,2.92225
08/2003,2.9665,3.0017,2.9841
09/2003,2.9234,2.922,2.9227
10/2003,2.8562,2.8607,2.85845
11/2003,2.9494,2.913,2.9312
12/2003,2.8892,2.9245,2.90685
01/2004,2.9409,2.851,2.89595
02/2004,2.9138,2.9295,2.92165
03/2004,2.9086,2.9047,2.90665
04/2004,2.9447,2.9052,2.92495
05/2004,3.1291,3.0996,3.11435
06/2004,3.1075,3.1283,3.1179
07/2004,3.0268,3.036,3.0314
08/2004,2.9338,3.0021,2.96795
09/2004,2.8586,2.8903,2.87445
10/2004,2.8565,2.8521,2.8543
11/2004,2.7307,2.7852,2.75795
12/2004,2.6544,2.7174,2.6859
01/2005,2.6248,2.6922,2.6585
02/2005,2.595,2.597,2.596
03/2005,2.6662,2.7039,2.68505
04/2005,2.5313,2.5784,2.55485
05/2005,2.4038,2.452,2.4279
06/2005,2.3504,2.4127,2.38155
07/2005,2.3905,2.3727,2.3816
