CNPJ_FUNDO,DT_COMPTC,VL_PATRIM_LIQ
08.971.898/0001-57,2010-01-04,560117215.18
08.971.898/0001-57,2010-01-05,560563596.83
08.971.898/0001-57,2010-01-06,566508083.9
08.971.898/0001-57,2010-01-07,567190389.1
08.971.898/0001-57,2010-01-08,569671035.48
08.971.898/0001-57,2010-01-11,569984719.54
08.971.898/0001-57,2010-01-12,573822422.23
08.971.898/0001-57,2010-01-13,575443931.27
08.971.898/0001-57,2010-01-14,577701619.52
08.971.898/0001-57,2010-01-15,577922151.02
08.971.898/0001-57,2010-01-18,580342706.56
08.971.898/0001-57,2010-01-19,582969722.19
08.971.898/0001-57,2010-01-20,582929435.1
08.971.898/0001-57,2010-01-21,588488434.81
08.971.898/0001-57,2010-01-22,588749173.36
08.971.898/0001-57,2010-01-25,589081832.43
08.971.898/0001-57,2010-01-26,588687142.66
08.971.898/0001-57,2010-01-27,593600973.28
08.971.898/0001-57,2010-01-28,605539142.98
08.971.898/0001-57,2010-01-29,605500174.47
08.971.898/0001-57,2010-02-01,605625281.5
08.971.898/0001-57,2010-02-02,605778462.09
08.971.898/0001-57,2010-02-03,606587037.73
08.971.898/0001-57,2010-02-04,605776868.59
08.971.898/0001-57,2010-02-05,605590828.83
08.971.898/0001-57,2010-02-08,606486699.03
08.971.898/0001-57,2010-02-09,607446759.3
08.971.898/0001-57,2010-02-10,610275659.99
08.971.898/0001-57,2010-02-11,610468536.78
08.971.898/0001-57,2010-02-12,610592539.3
08.971.898/0001-57,2010-02-17,610993767.9
08.971.898/0001-57,2010-02-18,611152651.61
08.971.898/0001-57,2010-02-19,611453195.08
08.971.898/0001-57,2010-02-22,611385824.65
08.971.898/0001-57,2010-02-23,630642272.29
08.971.898/0001-57,2010-02-24,630916602.47
08.971.898/0001-57,2010-02-25,630609475.29
08.971.898/0001-57,2010-02-26,630857670.35
08.971.898/0001-57,2010-03-01,630681366.42
08.971.898/0001-57,2010-03-02,630543776.12
08.971.898/0001-57,2010-03-03,631200752.35
08.971.898/0001-57,2010-03-04,631212700.34
08.971.898/0001-57,2010-03-05,631565284.92
08.971.898/0001-57,2010-03-08,629545298.37
08.971.898/0001-57,2010-03-09,630026371.75
08.971.898/0001-57,2010-03-10,630286714.06
08.971.898/0001-57,2010-03-11,640675893.91
08.971.898/0001-57,2010-03-12,650616898.17
08.971.898/0001-57,2010-03-15,649394720.13
08.971.898/0001-57,2010-03-16,648241549.48
08.971.898/0001-57,2010-03-17,650132140.82
08.971.898/0001-57,2010-03-18,651880698.77
08.971.898/0001-57,2010-03-19,653938104.45
08.971.898/0001-57,2010-03-22,657831956.75
08.971.898/0001-57,2010-03-23,662108014.42
08.971.898/0001-57,2010-03-24,664867384.78
08.971.898/0001-57,2010-03-25,666702725.47
08.971.898/0001-57,2010-03-26,670610572.72
08.971.898/0001-57,2010-03-29,673108921.09
08.971.898/0001-57,2010-03-30,673268147.1
08.971.898/0001-57,2010-03-31,673362993.79
08.971.898/0001-57,2010-04-01,672995449.03
08.971.898/0001-57,2010-04-05,671821114.43
08.971.898/0001-57,2010-04-06,671953693.82
08.971.898/0001-57,2010-04-07,672051437.84
08.971.898/0001-57,2010-04-08,671903226.62
08.971.898/0001-57,2010-04-09,671687561.81
08.971.898/0001-57,2010-04-12,671244690.31
08.971.898/0001-57,2010-04-13,670978583.71
08.971.898/0001-57,2010-04-14,671412424.11
08.971.898/0001-57,2010-04-15,671733284.91
08.971.898/0001-57,2010-04-16,671607624.56
08.971.898/0001-57,2010-04-19,671748058.7
08.971.898/0001-57,2010-04-20,674307883.11
08.971.898/0001-57,2010-04-22,676755030.26
08.971.898/0001-57,2010-04-23,678979508.98
08.971.898/0001-57,2010-04-26,679114115.1
08.971.898/0001-57,2010-04-27,679290468.83
08.971.898/0001-57,2010-04-28,678504520.99
08.971.898/0001-57,2010-04-29,678853951.24
08.971.898/0001-57,2010-04-30,679770950.48
08.971.898/0001-57,2010-05-03,679843156.56
08.971.898/0001-57,2010-05-04,680152839.15
08.971.898/0001-57,2010-05-05,680876084.69
08.971.898/0001-57,2010-05-06,681922886.09
08.971.898/0001-57,2010-05-07,681862414.87
08.971.898/0001-57,2010-05-10,682448150.18
08.971.898/0001-57,2010-05-11,683524384.4
08.971.898/0001-57,2010-05-12,684174977.08
08.971.898/0001-57,2010-05-13,684103323.42
08.971.898/0001-57,2010-05-14,683785855.66
08.971.898/0001-57,2010-05-17,682920069.43
08.971.898/0001-57,2010-05-18,683134344.42
08.971.898/0001-57,2010-05-19,682682138.6
08.971.898/0001-57,2010-05-20,681189468.01
08.971.898/0001-57,2010-05-21,681095821.44
08.971.898/0001-57,2010-05-24,681679595.47
08.971.898/0001-57,2010-05-25,681593908.7
08.971.898/0001-57,2010-05-26,682978728.75
08.971.898/0001-57,2010-05-27,684237819.25
08.971.898/0001-57,2010-05-28,685611020.97
08.971.898/0001-57,2010-05-31,686894559.65
08.971.898/0001-57,2010-06-01,687566355.86
08.971.898/0001-57,2010-06-02,688456903.02
08.971.898/0001-57,2010-06-04,688642346.12
08.971.898/0001-57,2010-06-07,688788243.15
08.971.898/0001-57,2010-06-08,688985907.79
08.971.898/0001-57,2010-06-09,689208136.31
08.971.898/0001-57,2010-06-10,689846109.02
08.971.898/0001-57,2010-06-11,690083216.26
08.971.898/0001-57,2010-06-14,690487916.54
08.971.898/0001-57,2010-06-15,690994427.13
08.971.898/0001-57,2010-06-16,695270833.25
08.971.898/0001-57,2010-06-17,695509682.88
08.971.898/0001-57,2010-06-18,696357639.63
08.971.898/0001-57,2010-06-21,693474093.13
08.971.898/0001-57,2010-06-22,687820351.02
08.971.898/0001-57,2010-06-23,684398473.96
08.971.898/0001-57,2010-06-24,684473346.05
08.971.898/0001-57,2010-06-25,694741771.76
08.971.898/0001-57,2010-06-28,695157557.56
08.971.898/0001-57,2010-06-29,693187464.28
08.971.898/0001-57,2010-06-30,693987803.13
08.971.898/0001-57,2010-07-01,695097632.71
08.971.898/0001-57,2010-07-02,696255406.11
08.971.898/0001-57,2010-07-05,695483775.89
08.971.898/0001-57,2010-07-06,692483301.66
08.971.898/0001-57,2010-07-07,698027331.55
08.971.898/0001-57,2010-07-08,700356042.08
08.971.898/0001-57,2010-07-09,700671068.63
08.971.898/0001-57,2010-07-12,702947140.75
08.971.898/0001-57,2010-07-13,701241110.32
08.971.898/0001-57,2010-07-14,702794450.27
08.971.898/0001-57,2010-07-15,704669797.44
08.971.898/0001-57,2010-07-16,707233442.97
08.971.898/0001-57,2010-07-19,708275816.75
08.971.898/0001-57,2010-07-20,708773337.9
08.971.898/0001-57,2010-07-21,709223605.83
08.971.898/0001-57,2010-07-22,711327255.85
08.971.898/0001-57,2010-07-23,713078617.8
08.971.898/0001-57,2010-07-26,714613443.36
08.971.898/0001-57,2010-07-27,714052955.16
08.971.898/0001-57,2010-07-28,714966555.66
08.971.898/0001-57,2010-07-29,716688285.02
08.971.898/0001-57,2010-07-30,727514499.09
08.971.898/0001-57,2010-08-02,728813749.72
08.971.898/0001-57,2010-08-03,728782691.99
08.971.898/0001-57,2010-08-04,728889634.99
08.971.898/0001-57,2010-08-05,729571816.71
08.971.898/0001-57,2010-08-06,734492027.34
08.971.898/0001-57,2010-08-09,734799940.33
08.971.898/0001-57,2010-08-10,735006598.1
08.971.898/0001-57,2010-08-11,735742816.45
08.971.898/0001-57,2010-08-12,736419740.19
08.971.898/0001-57,2010-08-13,737309414.77
08.971.898/0001-57,2010-08-16,738026080.68
08.971.898/0001-57,2010-08-17,738160073.45
08.971.898/0001-57,2010-08-18,738303803.67
08.971.898/0001-57,2010-08-19,738714868.85
08.971.898/0001-57,2010-08-20,739434513.22
08.971.898/0001-57,2010-08-23,739885381.46
08.971.898/0001-57,2010-08-24,740147804.94
08.971.898/0001-57,2010-08-25,740493804.7
08.971.898/0001-57,2010-08-26,744657395.97
08.971.898/0001-57,2010-08-27,749720561
08.971.898/0001-57,2010-08-30,749611383.79
08.971.898/0001-57,2010-08-31,743845553.2
08.971.898/0001-57,2010-09-01,740205721.56
08.971.898/0001-57,2010-09-02,740388716.13
08.971.898/0001-57,2010-09-03,740660535.11
08.971.898/0001-57,2010-09-06,741268065.7
08.971.898/0001-57,2010-09-08,741795751.4
08.971.898/0001-57,2010-09-09,742235391.22
08.971.898/0001-57,2010-09-10,742228765.34
08.971.898/0001-57,2010-09-13,742944689.31
08.971.898/0001-57,2010-09-14,743076117.86
08.971.898/0001-57,2010-09-15,743681681.82
08.971.898/0001-57,2010-09-16,744033999.47
08.971.898/0001-57,2010-09-17,744331933.32
08.971.898/0001-57,2010-09-20,742716053.78
08.971.898/0001-57,2010-09-21,742097286.76
08.971.898/0001-57,2010-09-22,739346239.44
08.971.898/0001-57,2010-09-23,739145551.71
08.971.898/0001-57,2010-09-24,740498643.86
08.971.898/0001-57,2010-09-27,739865564.77
08.971.898/0001-57,2010-09-28,736771586.61
08.971.898/0001-57,2010-09-29,736801632.14
08.971.898/0001-57,2010-09-30,737854234.46
08.971.898/0001-57,2010-10-01,738095148.67
08.971.898/0001-57,2010-10-04,737640914.83
08.971.898/0001-57,2010-10-05,734925906.55
08.971.898/0001-57,2010-10-06,733673150.71
08.971.898/0001-57,2010-10-07,733908122.05
08.971.898/0001-57,2010-10-08,735220784.32
08.971.898/0001-57,2010-10-11,734861363.36
08.971.898/0001-57,2010-10-13,732396293.02
08.971.898/0001-57,2010-10-14,732409390.71
08.971.898/0001-57,2010-10-15,728835558.13
08.971.898/0001-57,2010-10-18,723111678.83
08.971.898/0001-57,2010-10-19,715140293.32
08.971.898/0001-57,2010-10-20,705892468.46
08.971.898/0001-57,2010-10-21,702075615.05
08.971.898/0001-57,2010-10-22,697341979.8
08.971.898/0001-57,2010-10-25,695751710.58
08.971.898/0001-57,2010-10-26,693456962.89
08.971.898/0001-57,2010-10-27,692762483.42
08.971.898/0001-57,2010-10-28,691878561.07
08.971.898/0001-57,2010-10-29,692903426.64
08.971.898/0001-57,2010-11-01,692248873.54
08.971.898/0001-57,2010-11-03,688186357.51
08.971.898/0001-57,2010-11-04,687822609.31
08.971.898/0001-57,2010-11-05,686621820.8
08.971.898/0001-57,2010-11-08,684154484.62
08.971.898/0001-57,2010-11-09,679780347.15
08.971.898/0001-57,2010-11-10,678380205.62
08.971.898/0001-57,2010-11-11,678503359.09
08.971.898/0001-57,2010-11-12,678071329.12
08.971.898/0001-57,2010-11-16,676484366.1
08.971.898/0001-57,2010-11-17,667876375.97
08.971.898/0001-57,2010-11-18,657080049.59
08.971.898/0001-57,2010-11-19,663182573.06
08.971.898/0001-57,2010-11-22,659470426.56
08.971.898/0001-57,2010-11-23,654136796.41
08.971.898/0001-57,2010-11-24,654963242.94
08.971.898/0001-57,2010-11-25,645446429.44
08.971.898/0001-57,2010-11-26,632661464.88
08.971.898/0001-57,2010-11-29,622990475.74
08.971.898/0001-57,2010-11-30,648446326.36
08.971.898/0001-57,2010-12-01,647116491.25
08.971.898/0001-57,2010-12-02,642762229.66
08.971.898/0001-57,2010-12-03,647267058.94
08.971.898/0001-57,2010-12-06,639353632.96
08.971.898/0001-57,2010-12-07,647654972.36
08.971.898/0001-57,2010-12-08,645997531.2
08.971.898/0001-57,2010-12-09,648715221.39
08.971.898/0001-57,2010-12-10,644482273.16
08.971.898/0001-57,2010-12-13,646960633.57
08.971.898/0001-57,2010-12-14,638021855.32
08.971.898/0001-57,2010-12-15,643075681.78
