date,cnpj,nome,nav
2016-09-26,00.000.746/0001-03,,0
2013-07-04,00.000.777/0001-56,,0
2012-12-18,00.016.991/0001-09,,0
2023-03-09,00.017.024/0001-53,FUNDO DE INVESTIMENTO RENDA FIXA EXPONENCIAL,1074266
2023-03-09,00.068.305/0001-35,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA EMPREENDER RENDA FIXA LONGO PRAZO,37473060.32
2023-03-09,00.071.477/0001-68,BB RENDA FIXA AUTOMÁTICO EMPRESA SIMPLES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,3093780409.47
2023-03-09,00.073.041/0001-08,BB BESC RENDA FIXA PRÁTICO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO,12480767.42
2023-03-09,00.083.181/0001-67,OPP I FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I INVESTIMENTO NO EXTERIOR,15072492799.29
2023-03-09,00.089.915/0001-15,AMARIL FRANKLIN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,17226717.32
2023-03-09,00.102.322/0001-41,BOREAL AÇÕES III FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,49476378.94
2013-11-22,00.110.792/0001-57,,0
2017-08-18,00.129.444/0001-21,DAMACRI FUNDO DE INVESTIMENTO DE ACOES,0
2011-07-18,00.168.791/0001-63,,0
2023-03-09,00.180.995/0001-10,SAFRA EXECUTIVE MAX RF FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,146306872.16
2023-03-09,00.185.259/0001-54,OPPORTUNITY LOGICA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,427412694.78
2023-03-09,00.194.256/0001-87,BB EXTRAMERCADO FAE FUNDO DE INVESTIMENTO EM RENDA FIXA,4655949777.88
2017-07-18,00.195.001/0001-39,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA FINCAP,0
2023-03-09,00.211.294/0001-09,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO EUCALIPTO,938181567.54
2011-07-06,00.218.878/0001-06,,0
2023-03-09,00.222.725/0001-24,SANTANDER RENDA FIXA CRESCIMENTO CENTRUM FIC FI,75533201.35
2023-03-09,00.222.816/0001-60,SAFRA EXECUTIVE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA,1294602091.16
2023-03-09,00.280.302/0001-60,BRADESCO H FICFI RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO TIPO,476728606.57
2016-07-04,00.284.758/0001-07,,0
