Date;24364 - Central Bank Economic Activity Index (IBC-Br) - seasonally adjusted - Index
01/2003;100.45
02/2003;101.94
03/2003;101.83
04/2003;101.05
05/2003;99.81
06/2003;100.16
07/2003;98.94
08/2003;99.84
09/2003;101.65
10/2003;101.84
11/2003;102.01
12/2003;101.96
01/2004;103.67
02/2004;104.52
03/2004;105.80
04/2004;106.43
05/2004;106.20
06/2004;107.19
07/2004;107.66
08/2004;108.21
09/2004;109.17
10/2004;108.75
11/2004;109.68
12/2004;109.08
01/2005;109.59
02/2005;110.20
03/2005;110.42
04/2005;111.05
05/2005;110.91
06/2005;110.32
07/2005;110.44
08/2005;111.22
09/2005;110.71
10/2005;111.14
11/2005;111.86
12/2005;112.91
01/2006;113.55
02/2006;113.71
03/2006;113.47
04/2006;114.39
05/2006;115.61
06/2006;114.33
07/2006;116.60
08/2006;116.58
09/2006;116.66
10/2006;118.14
11/2006;118.90
12/2006;120.72
01/2007;120.01
02/2007;120.38
03/2007;119.48
04/2007;121.08
05/2007;122.19
06/2007;122.98
07/2007;123.84
08/2007;124.12
09/2007;125.10
10/2007;126.31
11/2007;126.19
12/2007;127.61
01/2008;127.58
02/2008;127.08
03/2008;126.47
04/2008;128.00
05/2008;129.36
06/2008;130.49
07/2008;130.55
08/2008;130.94
09/2008;130.50
10/2008;128.10
11/2008;124.95
12/2008;121.62
01/2009;121.36
02/2009;122.42
03/2009;122.98
04/2009;123.60
05/2009;124.83
06/2009;125.44
07/2009;125.83
08/2009;127.96
09/2009;128.89
10/2009;129.99
11/2009;129.97
12/2009;132.07
01/2010;134.08
02/2010;135.38
03/2010;136.50
04/2010;137.23
05/2010;136.21
06/2010;135.89
07/2010;136.72
08/2010;137.58
09/2010;138.84
10/2010;138.69
11/2010;140.04
12/2010;138.58
01/2011;140.41
02/2011;140.91
03/2011;141.09
04/2011;141.08
05/2011;141.16
06/2011;141.84
07/2011;142.15
08/2011;141.82
09/2011;141.56
10/2011;141.65
11/2011;142.21
12/2011;140.83
01/2012;139.12
02/2012;140.56
03/2012;140.08
04/2012;140.88
05/2012;142.48
06/2012;143.51
07/2012;143.94
08/2012;144.17
09/2012;143.70
10/2012;144.86
11/2012;144.57
12/2012;144.13
01/2013;145.02
02/2013;143.87
03/2013;145.04
04/2013;146.25
05/2013;146.76
06/2013;146.35
07/2013;147.07
08/2013;147.15
09/2013;147.81
10/2013;147.99
11/2013;148.32
12/2013;148.74
01/2014;148.30
02/2014;147.97
03/2014;147.79
04/2014;147.09
05/2014;146.33
06/2014;143.43
07/2014;144.83
08/2014;145.64
09/2014;146.17
10/2014;145.37
11/2014;145.60
12/2014;146.23
01/2015;144.99
02/2015;143.96
03/2015;143.61
04/2015;141.95
05/2015;141.00
06/2015;139.44
07/2015;138.44
08/2015;138.72
09/2015;137.61
10/2015;138.69
11/2015;136.69
12/2015;136.39
01/2016;135.59
02/2016;135.42
03/2016;134.53
04/2016;134.47
05/2016;134.13
06/2016;134.61
07/2016;134.58
08/2016;133.69
09/2016;133.65
10/2016;133.41
11/2016;133.17
12/2016;132.55
01/2017;133.39
02/2017;135.42
03/2017;135.23
04/2017;135.33
05/2017;134.98
06/2017;135.87
07/2017;136.37
08/2017;135.51
09/2017;135.54
10/2017;135.91
11/2017;135.89
12/2017;138.01
01/2018;137.13
02/2018;136.72
03/2018;136.53
04/2018;137.22
05/2018;133.05
06/2018;137.32
07/2018;137.86
08/2018;138.76
09/2018;138.15
10/2018;138.25
11/2018;138.46
12/2018;139.09
01/2019;139.01
02/2019;137.57
03/2019;137.01
04/2019;136.92
05/2019;138.57
06/2019;138.81
07/2019;138.25
08/2019;138.13
09/2019;139.00
10/2019;140.30
11/2019;139.62
12/2019;139.23
01/2020;139.69
02/2020;139.59
03/2020;129.79
04/2020;117.26
05/2020;121.05
06/2020;126.93
07/2020;130.98
08/2020;133.60
09/2020;136.61
10/2020;139.00
11/2020;138.92
12/2020;139.59
01/2021;139.83
02/2021;141.07
03/2021;136.02
04/2021;137.73
05/2021;138.90
06/2021;138.95
07/2021;138.75
08/2021;138.74
09/2021;138.61
10/2021;139.19
11/2021;140.63
12/2021;141.36
01/2022;139.99
02/2022;140.96
03/2022;142.16
04/2022;142.06
05/2022;142.33
06/2022;143.39
07/2022;146.53
08/2022;144.41
09/2022;144.07
10/2022;143.69
11/2022;141.83
12/2022;142.88
01/2023;142.75
02/2023;147.49
Source;BCB-Depec
